,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Adj Close
2024-07-22 09:30:00-04:00,553.0,553.0599975585938,552.3200073242188,552.3300170898438,2308855.0,0.0,0.0,0.0,
2024-07-22 09:31:00-04:00,552.3300170898438,552.4199829101562,552.2899780273438,552.4099731445312,37474.0,0.0,0.0,0.0,
2024-07-22 09:32:00-04:00,552.3104858398438,552.4699707,552.2750244140625,552.4000244140625,242960.0,0.0,0.0,0.0,
2024-07-22 09:33:00-04:00,552.3900146484375,552.5999755859375,552.3499755859375,552.4450073242188,141738.0,0.0,0.0,0.0,
2024-07-22 09:34:00-04:00,552.4400024414062,552.7899780273438,552.3900146484375,552.75,131684.0,0.0,0.0,0.0,
2024-07-22 09:35:00-04:00,552.7399902,553.125,552.7399902,553.0300293,232347.0,0.0,0.0,0.0,
2024-07-22 09:36:00-04:00,553.0200195,553.3599853515625,553.0200195,553.2999877929688,271711.0,0.0,0.0,0.0,
2024-07-22 09:37:00-04:00,553.2899780273438,553.5499877929688,553.25,553.4949951171875,196485.0,0.0,0.0,0.0,
2024-07-22 09:38:00-04:00,553.4949951171875,553.7299805,553.4699707,553.6699829101562,144929.0,0.0,0.0,0.0,
2024-07-22 09:39:00-04:00,553.6599731445312,553.9600219726562,553.5100098,553.5999755859375,348135.0,0.0,0.0,0.0,
2024-07-22 09:40:00-04:00,553.5949707,553.8400268554688,553.5300293,553.6599731445312,204111.0,0.0,0.0,0.0,
2024-07-22 09:41:00-04:00,553.6849975585938,553.6849975585938,553.5,553.5650024414062,97854.0,0.0,0.0,0.0,
2024-07-22 09:42:00-04:00,553.5900268554688,553.6900024414062,553.4299926757812,553.5100098,130782.0,0.0,0.0,0.0,
2024-07-22 09:43:00-04:00,553.5100098,553.5900268554688,553.3599853515625,553.4400024414062,134181.0,0.0,0.0,0.0,
2024-07-22 09:44:00-04:00,553.4299926757812,553.6300048828125,553.4299926757812,553.5300293,100549.0,0.0,0.0,0.0,
2024-07-22 09:45:00-04:00,553.5300293,553.8400268554688,553.5300293,553.8200073242188,137379.0,0.0,0.0,0.0,
2024-07-22 09:46:00-04:00,553.8300170898438,554.0700073242188,553.7849731445312,554.0399780273438,187601.0,0.0,0.0,0.0,
2024-07-22 09:47:00-04:00,554.0399780273438,554.4100952148438,553.9899902,554.2700195,221064.0,0.0,0.0,0.0,
2024-07-22 09:48:00-04:00,554.2750244140625,554.3800048828125,554.1099853515625,554.1400146484375,172571.0,0.0,0.0,0.0,
2024-07-22 09:49:00-04:00,554.1699829101562,554.3001098632812,554.1400146484375,554.2899780273438,163112.0,0.0,0.0,0.0,
2024-07-22 09:50:00-04:00,554.2999877929688,554.3499755859375,554.2199707,554.25,84761.0,0.0,0.0,0.0,
2024-07-22 09:51:00-04:00,554.2399902,554.2700195,553.8400268554688,553.8599853515625,185931.0,0.0,0.0,0.0,
2024-07-22 09:52:00-04:00,553.8850098,553.9099731445312,553.5700073242188,553.8499755859375,187684.0,0.0,0.0,0.0,
2024-07-22 09:53:00-04:00,553.8499755859375,553.9500122070312,553.7800293,553.9000244140625,72511.0,0.0,0.0,0.0,
2024-07-22 09:54:00-04:00,553.9000244140625,553.9799805,553.8500977,553.9600219726562,110615.0,0.0,0.0,0.0,
2024-07-22 09:55:00-04:00,553.9600219726562,553.9600219726562,553.5800170898438,553.7000122070312,112574.0,0.0,0.0,0.0,
2024-07-22 09:56:00-04:00,553.5800170898438,553.7199707,553.4099731445312,553.5800170898438,95791.0,0.0,0.0,0.0,
2024-07-22 09:57:00-04:00,553.5700073242188,553.5700073242188,552.8099975585938,552.8400268554688,114055.0,0.0,0.0,0.0,
2024-07-22 09:58:00-04:00,552.7999877929688,552.9099731445312,552.6199951171875,552.9000244140625,136461.0,0.0,0.0,0.0,
2024-07-22 09:59:00-04:00,552.8596191,552.9500122070312,552.5100098,552.6600952148438,162538.0,0.0,0.0,0.0,
2024-07-22 10:00:00-04:00,552.6699829101562,552.7899780273438,552.2700195,552.2750244140625,91696.0,0.0,0.0,0.0,
2024-07-22 10:01:00-04:00,552.2600098,552.2600098,551.9699707,552.1350098,160861.0,0.0,0.0,0.0,
2024-07-22 10:02:00-04:00,552.0,552.2299805,552.0,552.0,136187.0,0.0,0.0,0.0,
2024-07-22 10:03:00-04:00,552.0,552.25,551.9299926757812,552.2299805,94525.0,0.0,0.0,0.0,
2024-07-22 10:04:00-04:00,552.2199707,552.3099975585938,551.9600219726562,551.9600219726562,141935.0,0.0,0.0,0.0,
2024-07-22 10:05:00-04:00,551.9600219726562,552.0798950195312,551.875,551.9500122070312,67436.0,0.0,0.0,0.0,
2024-07-22 10:06:00-04:00,551.9500122070312,552.0200195,551.4799805,551.5300293,115422.0,0.0,0.0,0.0,
2024-07-22 10:07:00-04:00,551.4899902,551.7899169921875,551.4899902,551.6599731445312,93680.0,0.0,0.0,0.0,
2024-07-22 10:08:00-04:00,551.6799926757812,551.6799926757812,551.6799926757812,551.6799926757812,45956.0,0.0,0.0,0.0,
2024-07-22 10:09:00-04:00,551.6900024414062,551.7100219726562,551.3400268554688,551.5098876953125,92171.0,0.0,0.0,0.0,
2024-07-22 10:10:00-04:00,551.4949951171875,551.7999877929688,551.4500122070312,551.7299805,92083.0,0.0,0.0,0.0,
2024-07-22 10:11:00-04:00,551.7200927734375,551.7600098,551.6199951171875,551.7199707,94178.0,0.0,0.0,0.0,
2024-07-22 10:12:00-04:00,551.7399902,551.9899902,551.6799926757812,551.9199829101562,158807.0,0.0,0.0,0.0,
2024-07-22 10:13:00-04:00,551.9000244140625,552.2899780273438,551.8200073242188,552.2600098,128345.0,0.0,0.0,0.0,
2024-07-22 10:14:00-04:00,552.2600098,552.4799805,552.2299805,552.4799805,79636.0,0.0,0.0,0.0,
2024-07-22 10:15:00-04:00,552.4899902,552.6699829101562,552.3599853515625,552.6599731445312,56738.0,0.0,0.0,0.0,
2024-07-22 10:16:00-04:00,552.6599731445312,552.7600098,552.6199951171875,552.6599731445312,105994.0,0.0,0.0,0.0,
2024-07-22 10:17:00-04:00,552.6599731445312,552.6599731445312,552.1450195,552.2299805,118796.0,0.0,0.0,0.0,
2024-07-22 10:18:00-04:00,552.2199707,552.2399902,551.8400268554688,551.9000244140625,66706.0,0.0,0.0,0.0,
2024-07-22 10:19:00-04:00,551.9000244140625,552.375,551.9000244140625,552.3300170898438,40988.0,0.0,0.0,0.0,
2024-07-22 10:20:00-04:00,552.3400268554688,552.6400146484375,552.2800293,552.5800170898438,123263.0,0.0,0.0,0.0,
2024-07-22 10:21:00-04:00,552.5986938476562,552.5986938476562,552.2899780273438,552.3499755859375,61168.0,0.0,0.0,0.0,
2024-07-22 10:22:00-04:00,552.3800048828125,552.5300293,552.3300170898438,552.4500122070312,52234.0,0.0,0.0,0.0,
